"station_id","name","latitude","longitude","elevation","country","provider"
2979,"Cap_ferrat","43.68333","7.32367","138","France","FR_METEOFRANCE"
2978,"Les_orres_fontaines","44.47567","6.55767","1895","France","FR_METEOFRANCE"
2977,"Broc","46.60966","7.10816","682","Switzerland","CH_METEOSWISS"
2976,"Mesocco","46.39560","9.23108","825","Switzerland","CH_METEOSWISS"
2975,"Dischingen_Eglingen","48.71340","10.44050","550","Germany","DE_DWD"
2974,"Frickenhofen","48.91670","9.78330","560","Germany","DE_DWD"
2973,"St_pal_en_chal_meallet","45.34017","3.95983","960","France","FR_METEOFRANCE"
2972,"Prapoutel_38002404","45.25000","5.97467","1840","France","FR_METEOFRANCE"
2971,"Val_casterino","44.09183","7.50350","1554","France","FR_METEOFRANCE"
2970,"Thomatal","47.07750","13.73444","1090","Austria","AT_HZB"
2969,"Barental","46.46889","14.15583","1000","Austria","AT_HZB"
2968,"Valmeinier","45.17233","6.48967","1788","France","FR_METEOFRANCE"
2967,"Segl_Maria","46.43233","9.76231","1804","Switzerland","CH_METEOSWISS"
2966,"Meribel_mottaret","45.36967","6.58333","1700","France","FR_METEOFRANCE"
2965,"Silandro_Convento_Osservatore","46.62765","10.77479","718","Italy","IT_BZ"
2964,"Bayrischzell","47.67970","12.00170","789","Germany","DE_DWD"
2963,"Meltina_Osservatore","46.58577","11.25169","1133","Italy","IT_BZ"
2961,"Windhaag_bei_Perg","48.28528","14.68167","513","Austria","AT_HZB"
2960,"Kochel_Urfeld","47.61770","11.34590","802","Germany","DE_DWD"
2959,"Irschenberg_Kasthub","47.81770","11.86780","715","Germany","DE_DWD"
2958,"Combe_Garot","46.95288","6.75669","629","Switzerland","CH_METEOSWISS"
2957,"Gelbelsee","48.94810","11.42890","536","Germany","DE_DWD"
2956,"Wertach_Buronhutte_","47.60080","10.46020","1172","Germany","DE_DWD"
2955,"Bischofswiesen_Winkl","47.68720","12.94150","690","Germany","DE_DWD"
2954,"Wolfsberg","46.82778","14.82639","440","Austria","AT_HZB"
2953,"Hollenbach_Bayern_Schonbach","48.47980","11.05200","457","Germany","DE_DWD"
2952,"Monheim_Itzing","48.81840","10.82620","475","Germany","DE_DWD"
2951,"Uster","47.35090","8.69216","438","Switzerland","CH_METEOSWISS"
2950,"Schanz","47.46889","15.58806","1230","Austria","AT_HZB"
2948,"Stainz","46.89611","15.25889","340","Austria","AT_HZB"
2947,"Weizern_Hopferau","47.61350","10.62300","807","Germany","DE_DWD"
2946,"Kiley_Alp","46.54519","7.50422","1375","Switzerland","CH_METEOSWISS"
2945,"Nyon","46.38198","6.24093","390","Switzerland","CH_METEOSWISS"
2944,"Tafertshofen","48.21660","10.27190","520","Germany","DE_DWD"
2943,"Hard_Rotachstrasse_","47.48222","9.69944","401","Austria","AT_HZB"
2942,"Chaneaz","46.72928","6.74284","758","Switzerland","CH_METEOSWISS"
2941,"Campo_Blenio","46.55541","8.93670","1215","Switzerland","CH_SLF"
2940,"Fleres_Osservatore","46.96521","11.34703","1245","Italy","IT_BZ"
